id,instruction,answer,option_c,option_b,option_a,option_d,
ARC-Challenge/train/Mercury_415753,Care din acești factori afectează viteza de deplasare a undelor sonore?,A,lungimea de undă a perturbației în mediu,amplitudinea vibrațiilor undei sonore,tipul de material prin care se deplasează,tipul de mișcare care a creat unda sonoră,
ARC-Challenge/train/Mercury_SC_401180,Care eveniment are loc în fiecare zi?,B,Creșterea și descreșterea Lunii,Răsăritul și apusul Soarelui,schimbarea anotimpurilor,Revoluția Lunii în jurul Soarelui,
ARC-Challenge/train/VASoL_2009_3_17,"Atât uraganele, cât și tornadele au întotdeauna ___.",C,au vânturi puternice,au sute de mile lățime,cauzează inundații,produc zăpadă ușoară,
ARC-Challenge/train/Mercury_7102270,Care tip de activitate ar fi cel mai probabil inclus pe o hartă meteorologică?,D,vulcanic,seismic,satelit,uragan,
ARC-Challenge/train/MDSA_2007_8_53,"Oamenii de știință efectuează investigații pentru a răspunde la întrebări. Înainte de a trage o concluzie validă, oamenii de știință trebuie să",A,publice rezultatele investigației,le comunice informațiile oamenilor,colecteze dovezi relevante,discute investigația cu alți oameni de știință,
ARC-Challenge/train/TIMSS_2003_8_pg27,Arderea combustibililor fosili a crescut conținutul de dioxid de carbon din atmosferă. Care ar fi un posibil efect pe care cantitatea crescută de dioxid de carbon este probabil să îl aibă asupra planetei noastre?,A,O umiditate relativă mai scăzută,Un climat mai rece,Un climat mai cald,Mai mult ozon în atmosferă,
ARC-Challenge/train/AIMS_2009_8_9,Mulți oameni de știință consideră că arderea combustibililor fosili a crescut cantitatea de dioxid de carbon din atmosferă. Ce efect ar avea cel mai probabil creșterea dioxidului de carbon asupra planetei?,B,umiditate relativă mai mică,un climat mai cald,un climat mai răcoros,mai mult ozon în atmosferă,
ARC-Challenge/train/AKDE&ED_2012_4_21,"Un profesor deschide o conservă de mâncare în fața clasei. Curând, toți elevii din clasă pot simți mirosul mâncării. Care dintre următoarele afirmații identifică o proprietate a gazelor care permite tuturor elevilor să simtă mirosul mâncării?",C,Un gaz își ia forma recipientului în care se află.,Un gaz are o masă mare.,Un gaz nu are masă.,Un gaz își păstrează forma atunci când este plasat într-un recipient.,
ARC-Challenge/train/Mercury_7001243,Oamenii de ştiinţă care nu sunt de acord cu rezultatele unui experiment ar trebui să,D,afle ce cred alţi oameni de ştiinţă despre rezultate.,şi păstreze opinia lor pentru ei înşişi.,schimbe experimentul.,repete experimentul de câteva ori şi compară rezultatele.,
ARC-Challenge/train/Mercury_404993,Care dintre acestea reduce nevoia oamenilor de a utiliza resursele nerenovabile?,C,proiectarea mașinilor care consumă eficient combustibil,udarea gazonului o dată pe săptămână,reciclarea produselor din hârtie,utilizarea cărbunelui pentru a genera electricitate,
ARC-Challenge/train/Mercury_7159758,Un cercetător efectuează o investigație pentru a determina dacă temperatura apei afecteaza rata de creștere a unei anumite specii de pești dintr-un lac. Ce unitate va folosi cercetătorul atunci când va determina masa peștilor?,C,grame,kilometri,centimetri,litri,
ARC-Challenge/train/Mercury_7008995,Echipamentul sonar trimite unde în ape adânci și măsoară,A,direcția undelor transmise.,refracția undelor transmise.,întârzierea de timp a undelor reflectate.,interferență între undele transmise și cele reflectate.,
ARC-Challenge/train/MEA_2014_5_6,Două flori sunt amândouă trandafiri. Un trandafir este mai mare și are mai multă mireasmă decât celălalt trandafir. Ce avantaj va câștiga cel mai probabil unul dintre trandafiri din cauza acestei diferențe?,B,Trandafirul mai mic va avea mai mult polen decât trandafirul mai mare.,Trandafirul mai mare va atrage mai ușor albinele decât trandafirul mai mic.,Trandafirul mai mare va avea mai puține petale decât trandafirul mai mic.,Trandafirul mai mic va crește mai repede decât trandafirul mai mare.,
ARC-Challenge/train/Mercury_7252735,Care factor va declanșa răspunsul de luptă sau fugă la un animal?,B,temperaturile sezoniere,concurența pentru hrană,mărimea populației,protecția mediului,
ARC-Challenge/train/TIMSS_1995_8_N3,"Pe o zi calduroasă și însorită, a fost pusă o cană de apă și o cană similară de benzină pe o masă lângă o fereastră. După câteva ore, s-a observat că ambele căni au mai puțin lichid în ele, dar că a mai rămas mai puțină benzină decât apă. Ce arată acest experiment?",C,Unele lichide se evaporă mai repede decât altele.,Benzina se încălzește mai mult decât apa.,Toate lichidele se evaporă.,Lichidele se vor evapora numai în lumina soarelui.,Apa se încălzește mai mult decât benzina.
ARC-Challenge/train/Mercury_SC_LBS10900,Care nu este un exemplu de instinct animal?,C,abilitățile de vânătoare,hibernarea,migrarea,construirea cuiburilor,
ARC-Challenge/train/NYSEDREGENTS_2009_4_20,Care structură a unui păsări este corect asociată cu funcția sa?,A,penele pentru respirație,aripile pentru eliminarea deșeurilor,gheare pentru obținerea hranei,ochii pentru creștere,
ARC-Challenge/train/Mercury_7268223,Care dintre acestea este o funcție a tuturor celulelor?,B,de a produce alimente folosind apă și dioxid de carbon,de a extrage energie din alimente pentru a susține viața,de a absorbi nutrienți și gaze din sânge,de a da formă și suport structural unui organism,
ARC-Challenge/train/Mercury_7001523,Furtunile transportă apă sub formă de ploaie. Energia care declanșează acest proces vine de la,A,Pământ.,oceane.,Soare.,norii.,
ARC-Challenge/train/AKDE&ED_2012_8_14,O persoană taie un stejar viu. Persoana arde lemnele de la stejarul tăiat pentru a fierbe apă. Care secvență ordonează corect transformările de energie care au avut loc de la copacul viu la fierberea apei?,A,energie chimică → energie mecanică → energie electrică,energie termică → energie chimică → energie luminoasă,energie luminoasă → energie chimică → energie termică,energie electrică → energie mecanică → energie chimică,
ARC-Challenge/train/LEAP_2011_4_10298,Joann testează solurile pentru a afla care este cel mai potrivit pentru a crește galbenele. Care dintre următoarele ar trebui să facă?,D,"Să planteze galbenelele în trei tipuri de sol, și să le ofere cantități diferite de soare.","Să planteze galbenelele într-un singur tip de sol, ridichi în altul și margarete într-un al treilea tip.","Să planteze galbenelele în același sol, dar să-i ude unele plante mai mult decât altele.",Să planteze galbenelele în trei tipuri de sol și să le ofere aceleași cantități de apă și soare.,
ARC-Challenge/train/NCEOGA_2013_8_10,Care este cea mai bună descriere a modului în care ghețarii sunt importanți în studiul istoriei geologice?,C,Ei conțin dovezi care arată schimbările în compoziția atmosferică de-a lungul timpului.,"Ei conțin fosile index, care sunt utilizate pentru a data diferitele nuclee de gheață.","Ei arată unconformități, care semnalează schimbări în depunere.","Ei urmează Legea Suprapunerii, care dă motive pentru extincția speciilor.",
ARC-Challenge/train/MCAS_2013_5_29398,Un pui de pasăre tocmai s-a născut dintr-un ou. Care dintre următoarele etape este cel mai probabil să urmeze în ciclul de viață al păsării?,C,creșterea,moartea,nașterea,reproducerea,
ARC-Challenge/train/Mercury_183803,Care dintre acestea ar fi un model de difuziune?,D,doi studenți se ciocnesc unul de celălalt,doi studenți trec unul pe lângă altul,un student trece prin ușă,studenții ies dintr-o cameră aglomerată într-un hol,
ARC-Challenge/train/Mercury_7084210,"Un cercetător examinează un organism marin care are dimensiunea unei mâini umane medii. Fără mai multe informații, care afirmație despre organism este cel mai probabil exactă?",C,Este format din multe celule.,Are sisteme organice.,Este mobil.,Își face singur hrana.,
ARC-Challenge/train/Mercury_7269168,Când devine lemnul o resursă nerenovabilă?,A,Când copacii sunt utilizați ca resursă energetică.,Când copacii sunt tăiați și replantați la același ritm.,Când sunt tăiați mai mulți copaci decât sunt replantați.,Când copacii sunt utilizați ca resursă materială.,
ARC-Challenge/train/Mercury_7015750,Care este elementul cel mai comun dintr-o stea precum Soarele?,D,azot,oxigen,heliu,hidrogen,
ARC-Challenge/train/MCAS_2016_5_11,"Un student urmărește un raport local de vreme la televiziunea din Gloucester, Massachusetts. Care dintre următoarele cel mai probabil este inclus în acest raport de vreme?",B,adâncimea curentului în ocean,cantitatea de umiditate din aer,viteza curentului într-un râu,nivelul de umiditate din sol,
ARC-Challenge/train/ACTAAP_2009_7_4,Care planetă are cel mai lung an planetar?,D,Jupiter,Venus,Pământ,Neptun,
ARC-Challenge/train/Mercury_7283955,Două populații de pești de recif trăiesc în coexistență biologică una cu cealaltă. Care propoziție descrie cel mai bine relația lor?,C,Speciile se ignoră una pe alta.,O specie vânează cealaltă.,Speciile concurează între ele.,O specie beneficiază de cealaltă.,
ARC-Challenge/train/Mercury_SC_400156,În care două părți ale ciclului apei apa absoarbe energie?,C,topire și evaporare,precipitație și condensare,condensare și evaporare,evaporare și precipitație,
ARC-Challenge/train/Mercury_SC_408759,"În Florida, atât puma cât și râsul vânează cerbi cu coadă albă. Cum va fi afectată cel mai probabil competiția lor pentru hrană dacă populația de cerbi cu coadă albă din Florida scade brusc?",A,Competiția va crește între cerbii cu coadă albă și râși.,Competiția va scădea între râși și pume.,Competiția va crește între râși și pume.,Competiția va scădea între cerbii cu coadă albă și pume.,
ARC-Challenge/train/Mercury_7120803,Care este cel mai probabil necesar atunci când descris schimbarea poziției unui obiect?,C,punct de referință,schimbarea direcției,viteza inițială,rată constantă,
ARC-Challenge/train/Mercury_410136,Paul observă patru mostre diferite de apă. Înregistrează temperatura și volumul fiecărei mostre. Care dintre acestea conține cea mai mare cantitate de energie termică?,D,5 litri de apă la 10°C,100 mL de apă la 25°C,100 mL de apă la 10°C,5 litri de apă la 25°C,
ARC-Challenge/train/Mercury_SC_405208,Care dintre aceste argumente este un beneficiu al avioanelor?,C,Avioanele pot călători foarte rapid.,Avioanele costă o mulțime de bani.,Avioanele sunt greu de pilotat.,Avioanele decolează de pe aeroport.,
ARC-Challenge/train/TIMSS_2007_4_pg18,Care dintre aceste animale are dinți cel mai asemănători cu dinții oamenilor?,C,maimuță,leu,cerb,câine,
ARC-Challenge/train/Mercury_412149,"Sodiu, Na, se află în aceeași grupă cu",D,Ca.,Mg.,Ne.,K.,
ARC-Challenge/train/Mercury_7004043,"În timp ce strânge flori sălbatice, un elev începe să strănute și să aibă ochii iritați și apoși. Ce sistem corporal cauzează această reacție?",A,muscular,nervos,imunitar,circulator,
ARC-Challenge/train/MCAS_2006_9_21,"Dl. Jenkins a construit un circuit constând într-o sursă variabilă, fire și un rezistor. Pentru a tripla cantitatea de curent, cum ar trebui să schimbe tensiunea sursei?",A,faceți tensiunea de nouă ori mai mare,faceți tensiunea de o treime mai mică,faceți tensiunea de trei ori mai mare,faceți tensiunea de o nouăime mai mică,
ARC-Challenge/train/Mercury_184345,Care dintre următoarele opțiuni constituie cea mai bună dovadă că o anumită zonă a fost acoperită odinioară de un ghețar?,C,șlefuirile rocilor de suprafață,fosile marine,peșteri de calcar,desprinderea plăcilor de rocă,
ARC-Challenge/train/NCEOGA_2013_8_47,Care sunt factorii care pot avea cel mai mare efect asupra sănătății unui sistem râu?,B,consumul uman și pH-ul,nivelul de nitrați și turbiditatea,tipul de sol și salinitatea,dezastre naturale și schimbări de maree,
ARC-Challenge/train/Mercury_7084298,Două elemente în aceeași grupă din Tabelul Periodic al Elementelor sunt cele mai similare din punct de vedere al,D,dimensiunii atomice.,numărului de protoni.,masei atomice.,reactivității chimice.,
ARC-Challenge/train/VASoL_2007_5_7,Care dintre aceste animale are cele mai mari șanse să fie găsit trăind și hrănindu-se pe podeaua pădurii din Virginia?,C,Șoarece de pădure,Păstrăv,Liliac,Vultur auriu,
ARC-Challenge/train/MCAS_2009_8_1,"Dacă un obiect solid este luat de pe Pământ în spațiu, care dintre următoarele măsurători ale obiectului se va schimba cel mai mult?",D,volum,masă,densitate,greutate,
ARC-Challenge/train/ACTAAP_2008_7_3,Care dintre aceste întrebări poate fi cel mai probabil determinată printr-o investigație științifică?,C,Care este cantitatea de lumină necesară pentru a crește roșiile?,Ce echipă de fotbal va câștiga următorul meci?,Cine va câștiga următoarea loterie?,Care sunt cele patru tipuri de pene de păsări care au cele mai frumoase culori?,
ARC-Challenge/train/NYSEDREGENTS_2007_8_21,Structurile găsite într-o celulă vie pot fi comparate cu părțile unei fabrici care produce mașini. Cu ce parte a fabricii este cel mai similar nucleul unei celule vii?,C,sala de calculatoare care controlează procesul de asamblare,un container de depozitare care conține piesele necesare pentru asamblarea unei mașini,o bandă rulantă care transportă materialele,generatorul care furnizează energie pentru fabrică,
ARC-Challenge/train/Mercury_405061,Care este un avantaj al utilizării resurselor regenerabile?,C,Ele vor fi disponibile pentru mulți ani.,Ele fac electricitatea mai puțin periculoasă.,Ele fac energia mai accesibilă.,Ele vor reduce cererea de electricitate.,
